DITA File,XSLT,Status,Time (ms),Error,Output File
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/nodemailer_active.dita,fix_p_warning_to_note.xsl,success,1,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/nodemailer_active.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/nodemailer_active.dita,fix_consecutive_p_to_list.xsl,success,1,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/nodemailer_active.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/nodemailer_active.dita,table.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/nodemailer_active.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/nodemailer_active.dita,codeblock.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/nodemailer_active.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/nodemailer_active.dita,concept.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/nodemailer_active.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/notes_risk_flags.dita,unescape-tags.xsl,success,1,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/notes_risk_flags.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/notes_risk_flags.dita,fix_p_warning_to_note.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/notes_risk_flags.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/notes_risk_flags.dita,fix_consecutive_p_to_list.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/notes_risk_flags.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/notes_risk_flags.dita,table.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/notes_risk_flags.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/notes_risk_flags.dita,codeblock.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/notes_risk_flags.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/notes_risk_flags.dita,topic.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/notes_risk_flags.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/npm_network_surface_report.dita,unescape-tags.xsl,success,1,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/npm_network_surface_report.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/npm_network_surface_report.dita,fix_p_warning_to_note.xsl,success,1,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/npm_network_surface_report.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/npm_network_surface_report.dita,fix_consecutive_p_to_list.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/npm_network_surface_report.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/npm_network_surface_report.dita,table.xsl,success,1,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/npm_network_surface_report.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/npm_network_surface_report.dita,codeblock.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/npm_network_surface_report.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/npm_network_surface_report.dita,topic.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/npm_network_surface_report.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/project_summary_matrix.dita,unescape-tags.xsl,success,1,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/project_summary_matrix.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/project_summary_matrix.dita,fix_p_warning_to_note.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/project_summary_matrix.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/project_summary_matrix.dita,fix_consecutive_p_to_list.xsl,success,1,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/project_summary_matrix.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/project_summary_matrix.dita,table.xsl,success,1,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/project_summary_matrix.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/project_summary_matrix.dita,codeblock.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/project_summary_matrix.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/project_summary_matrix.dita,topic.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/project_summary_matrix.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/razorpay_active_package_usage.dita,unescape-tags.xsl,success,1,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/razorpay_active_package_usage.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/razorpay_active_package_usage.dita,fix_p_warning_to_note.xsl,success,1,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/razorpay_active_package_usage.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/razorpay_active_package_usage.dita,fix_consecutive_p_to_list.xsl,success,1,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/razorpay_active_package_usage.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/razorpay_active_package_usage.dita,table.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/razorpay_active_package_usage.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/razorpay_active_package_usage.dita,codeblock.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/razorpay_active_package_usage.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/razorpay_active_package_usage.dita,concept.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/razorpay_active_package_usage.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/reactscripts.dita,unescape-tags.xsl,success,1,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/reactscripts.dita
