"DITA File Path","Document Type","Schematron Name","Severity","Gate","Rule Code","Error / Warning Description"
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1126 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""model draft will ensure that language used is polite, respectful and courteous. It should be written legibly at stations not having computers"""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1125 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""their own remarks, while forwarding such letters."""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1124 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""Booking/Parcel offices etc. may be marked by the Station Master for the In charge concerned, but the Station Master shall be personally responsible for the early compliance of such letters."""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1115 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""and the year in which they are to be destroyed should be excluded. (ii) Record pertaining to Court Cases, departmental enquiries should not be destroyed till three years from the date the case is decided. (iii) Record pertaining to public claims etc., or those under reference from Home or other railways, should not be destroyed without permission from DRM concerned. Most of these registers can be computerised, clubbed & some can be eliminated ~~~~~~~"""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1103 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""Engineering Account"""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1102 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""Miscellaneous Account:"""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1101 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""Train Ordering: Scheduled passenger trains do not require train ordering"""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1093 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""To facilitate passengers boarding, generally an important long distance passenger train should be placed on the platform 30 minutes/15 minutes before its scheduled departure, depending upon the terminal layout."""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1089 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""Trains:"""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1088 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""(vi) Two anti-telescopic or steel-bodied coaches should be marshalled inside the anti- telescopic or steel-bodied SLRs at both ends."""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1086 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""The Railway Board has permitted marshalling of three coaches in front and rear of the SLR on short trains, provided they have working brakes and subject to two end coaches at either side are anti- telescopic. An Inspection Carriage may be attached as fourth trailer coach on such trains."""
